,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish,Vietnamese,
50,Invention No.13,Invention No.13,اختراع No.13,二部创意No.13,二部創意No.13,Uitvinding Nr. 13,Invention No.13,Keksintö Nro 13,Invention N ° 13,Invention Nr.13,आविष्कार संख्या १३,Penemuan No.13,Invenzione N. 13,Invention No. 13,インベンション 第13番,Penciptaan No.13,Oppfinnelse Nr.13,Wynalazek Nr 13,InvençãO No.13,InvençãO No.13,Изобретение №13,Invención No.13,Uppfinning Nr 13,สิ่งประดิษฐ์หมายเลข 13,Buluş No.13,PháT Minh Số 13,
51,Sonatina Op.36-3,Sonatina Op.36-3,السوناتينا No.3 Op.36,小奏鸣曲Op.36-3,小奏鳴曲Op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina Op.36 Nr.3,सोनटिना ओप .36-3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina Op. 36-3,ソナチネ Op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,Сонатина Op.36 №3,Sonatina Op.36-3,Sonatina Op.36-3,Sonatina op.36-3,Sonatina Op.36-3,Sonatina Op.36-3,
52,William Tell Overture,William Tell Overture,افتتاحية ويليام تيل,威廉·退尔序曲,威廉·退爾序曲,William Tell Overture,William Tell Overture,William Tell Overture,William Tell Overture,William Tell Overture,विलियम ने ओवरचर को बताया,William Tell Overture,William Tell Overture,William Tell Overture,ウィリアム・テル  序曲,William Tell Overture,William Tell Overture,William Tell Uverture,William Tell Overture,William Tell Overture,Вильгельм Телль,William Tell Obertura,William Tell Overture,William Tell Overture,William Tell UvertüR,William NóI VớI Overture,
53,Bridal Chorus,Bridal Chorus,بريدل كورس,婚礼合唱,婚禮合唱,Bruidskoor,Bridal Chorus,Morsiamenkuoro,Chœur De Mariée,Bridal Chorus,ब्राइडल कोरस,Paduan Suara Pengantin,Coro Nuziale,Bridal Chorus,結婚行進曲,Chorus Pengantin,Brudekor,ChóR śLubny,Coro De Noivas,Coro De Noivas,Свадебный хор,Coro Nupcial,Brudkor,นักร้องประสานเสียงเจ้าสาว,Gelin Korosu,ĐIệP KhúC Cô DâU,
54,Humoresque No.7,Humoresque No.7,خيومورسك No.7,幽默曲No.7,幽默曲No.7,Humoresque Nr. 7,Humoresque No.7,Humoresque No.7,Humoresque N ° 7,Humoresque Nr.7,ह्यूमोरेस्क नंबर 7,Humoresque No.7,Humoresque No.7,유모레스크 7번,ユモレスク 第7番,Humoresque No.7,Humoresque Nr.7,Humoresque Nr 7,Humoresco No.7,Humoresco No.7,Юмореска №7,Humoresque No.7,Humoresque No.7,Humoresque No.7,Humoresque No.7,HàI HướC Số 7,
55,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,سوناتا ضوء القمر Mvt.3,月光奏鸣曲 第三章,月光奏鳴曲 第三章,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata 3. Satz,चांदनी सोनाटा MVT.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt. 3,月光 第3楽章,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Luar Sonata Mvt.3,Luar Sonata Mvt.3,Лунная соната 3 часть,Luna Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,
56,Minuet in G,Minuet in G,المينيويت في سلم صول الكبير,G大调小步舞曲,G大調小步舞曲,Minuet In G,Minuet In G,Minuet G: Ssä,Mouluet En G,Menuett in G,जी में मिनुइट,Minuet Di G,Minuet in G,미뉴엣 단조,メヌエット ト長調,Minuet Dalam G,Minuet I G,Minuet W G,Minuet Em G,Minuet Em G,Менуэт в G,Minueto en G,Minuet I G,minuet ใน g,G In G Minuet,Minuet Trong G,
57,Xinjiang Suite,Xinjiang Suite,جناح شينجيانغ,新疆组曲,新疆組曲,Xinjiang Suite,Xinjiang Suite,Xinjiang -Sviitti,Suite Du Xinjiang,Xinjiang Suite,शिनजियांग सुइट,Suite Xinjiang,Xinjiang Suite,신강 모음곡,新疆組曲,Xinjiang Suite,Xinjiang Suite,Suite Xinjiang,SuíTe Xinjiang,SuíTe Xinjiang,Синьцзян-Люкс,Suite Xinjiang,Xinjiang -Svit,Xinjiang Suite,Xinjiang Suite,Suite TâN CươNg,
58,Fantaisie - Impromptu,Fantaisie - Impromptu,فنتاسي امبرومبتيو,幻想即兴曲,幻想即興曲,Fantaisie - GeïMproviseerd,Fantaisie - Impromptu,Fantaisie - Eksprompti,Fantaisie - Impromptu,Fantaisie-Impromptu,Fantaisie - impromptu,Fantaisie - Dadakan,Fantaisie - Impromptu,환상 즉흥곡,幻想即興曲,Fantaisie - Impromptu,Fantaisie - Impromptu,Fantaisie - Impromptu,Fantaisie - Impromptu,Fantaisie - Impromptu,Экспромт - фантазия,Fantaisie - Improvisado,Fantaisie - Improviserad,Fantaisie - ทันควัน,Fantaisie - DoğAçLama,Fantaisie - NgẫU HứNg,
59,Harmonious Blacksmith,Harmonious Blacksmith,حداد متناغم,快乐的铁匠,快樂的鐵匠,Harmonieuze Smid,Harmonious Blacksmith,Harmoninen Seppä,Forgeron Harmonieux,Harmonious Blacksmith,सामंजस्यपूर्ण लोहार,Pandai Besi Yang Harmonis,Fabbro Armonioso,즐거운 대장간,調子のよい鍛冶屋,Blacksmith Harmoni,Harmonisk Smed,Harmoniczny Kowal,Ferreiro Harmonioso,Ferreiro Harmonioso,Гармонический кузнец,Herrero Armonioso,Harmonisk Smed,ช่างตีเหล็กที่กลมกลืนกัน,Uyumlu Demirci,Thợ RèN HàI HòA,
60,Liebestraum No.3,Liebestraum No.3,ليبستروم No.3,爱之梦,愛之夢,Liebestraum Nr. 3,Liebestraum No.3,Liebestraum Nro 3,Liebestraum N ° 3,Liebestraum Nr.3,लिबस्ट्रम नंबर 3,Liebestraum No.3,Liebestraum N. 3,달콤한 변주곡,愛の夢 第3番,Liebestraum No.3,Liebestraum No.3,Liebestraum Nr 3,Liebestraum No.3,Liebestraum No.3,Грезы Любви,Liebestraum No.3,Liebestraum Nr 3,Liebestraum No.3,Liebestraum No.3,Liebestraum Số 3,
61,Appassionata Mvt.3,Appassionata Mvt.3,أباشوناتا Mvt.3,热情奏鸣曲 第三章,熱情奏鳴曲 第三章,Appassionata Mvt.3,Appassionata Mvt.3,Appassionata Mvt.3,Appassionata Mvt.3,Appassionata 3. Satz,Appassionata MVT.3,Appassionata Mvt.3,Appassionata Mvt.3,열정,ピアノソナタ 熱情 第3楽章,Appassionata Mvt.3,Appassionata Mvt.3,Appassionata Mvt.3,Appassionata Mvt.3,Appassionata Mvt.3,Апассионата 3 часть,Appassionata Mvt.3,Appassionata Mvt.3,Appassionata Mvt.3,Appasionata Mvt.3,Appassionata Mvt.3,
62,Four Seasons - Spring,Four Seasons - Spring,الفصول الأربعة - الربيع,四季 - 春,四季 - 春,Vier Seizoenen - Lente,Four Seasons - Spring,Neljä Vuodenaikaa - KeväT,Four Saisons - Printemps,Vier Jahreszeiten - Frühling,चार मौसम - वसंत,Four Seasons - Musim Semi,Quattro Stagioni - Primavera,사계 - 봄,四季 - 春,Empat Musim - Musim Bunga,Fire Sesonger - VåR,Four Seasons - Spring,Four Seasons - Primavera,Four Seasons - Primavera,Четыре Сезона - Весна,Four Seasons - Primavera,Fyra SäSonger - VåRen,สี่ฤดูกาล - ฤดูใบไม้ผลิ,Four Seasons - Bahar,BốN MùA - MùA XuâN,
63,La Campanella,La Campanella,لا كامبانيلا,钟,鐘,La Campanella,La Campanella,La Campanella,La Campanella,La Campanella,ला कैम्पेनेला,La Campanella,La Campanella,라 캄파넬라,ラ・カンパネラ,La Campanella,La Campanella,La Campanella,La Campanella,La Campanella,Колокольчик,La Campanella,La Campanella,La Campanella,La Campanella,La Campanella,
64,Solfeggietto,Solfeggietto,سولفجيطو,视唱曲,視唱曲,Solfegegietto,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,सोलफेगिटो,Solfeggietto,Solfeggietto,솔페지에토,ソルフェジエット,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,Сольфеджио,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,
65,A La Claire Fontaine,A La Claire Fontaine,ا لا كلير فونتين,在清澈的泉水边,在清澈的泉水邊,A La Claire Fontaine,A La Claire Fontaine,A La Claire Fontaine,À La Claire Fontaine,A la Claire Fontaine,एक ला क्लेयर फोंटेन,A La Claire Fontaine,A la Claire Fontaine,맑은 샘에서,泉のほとり,La Claire Fontaine,A La Claire Fontaine,A La Claire Fontaine,A La Claire Fontaine,A La Claire Fontaine,У ясного фонтана,A la Claire Fontaine,A La Claire Fontaine,La Claire Fontaine,La Claire Fontaine,A La Claire Fontaine,
66,Simple Gifts,Simple Gifts,هدايا بسيطة,简单的礼物,簡單的禮物,Eenvoudige Geschenken,Simple Gifts,Yksinkertaiset Lahjat,Cadeaux Simples,Simple Gifts,सरल उपहार,Hadiah Sederhana,Regali Semplici,단순한 선물,シンプル・ギフト,Hadiah Mudah,Enkle Gaver,Proste Prezenty,Presentes Simples,Presentes Simples,Простые Подарки,Regalos Simples,Enkla GåVor,ของขวัญง่ายๆ,Basit Hediyeler,Quà TặNg đơN GiảN,
67,Hungarian Rhapsody No.6,Hungarian Rhapsody No.6,الرابسودي الهنغاري No.6,匈牙利狂想曲No.6,匈牙利狂想曲No.6,Hongaarse Rhapsody No.6,Hungarian Rhapsody No.6,Unkarin Rhapsody Nro 6,Rhapsodie Hongroise N ° 6,Ungarische Rhapsodie Nr.6,हंगेरियन रैप्सोडी नंबर 6,Hongaria Rhapsody No.6,Rhapsody Ungherese N. 6,헝가리 랩소디 6번,ハンガリー狂詩曲 第6番,Hungary Rhapsody No.6,Ungarsk Rhapsody No.6,WęGierski Rhapsody Nr 6,Rhapsody HúNgaro No.6,Rhapsody HúNgaro No.6,Венгерская Рапсодия №6,Rapsodia Húngara No.6,Ungerska Rhapsody Nr.6,ฮังการี Rhapsody No.6,Macar Rhapsody No.6,Hungary Rhapsody Số 6,
68,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,سوناتا بتتيك Mvt.1,悲怆奏鸣曲 第一章,悲愴奏鳴曲 第一章,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,Sonata Pathetique 1. Satz,सोनाटा पाथेटिक MVT.1,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,비창 소나타 1악장,ソナタ 悲愴 第1楽章,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,Sonata Patetique Mvt.1,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,Патетическая соната 1 часть,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,Sonata Postetique Mvt.1,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,
69,Waltz in E minor,Waltz in E Minor,فالس في سلم مي الصغير,E小调圆舞曲,E小調圓舞曲,Wals In E Mineur,Waltz In E Minor,Valssi E -Minorissa,Valse En E Mineur,Waltz in E-Moll,ई माइनर में वाल्ट्ज,Waltz Di E Minor,Waltz in E Minore,왈츠 마단조,ワルツ ホ短調,Waltz Di E Minor,Waltz I E -MindreåRig,Waltz W E -Moll,Valsa Em E Menor,Valsa Em E Menor,Вальс Ми минор,Vals en E Menor,Waltz I E -Moll,วอลทซ์ใน E Minor,E KüçüK Vals,Waltz Trong E Minor,
70,Clarinet Polka,Clarinet Polka,كلارينيت البولكا,单簧管波尔卡,單簧管波爾卡,Klarinet Polka,Clarinet Polka,Klarinetti,Pornette,Klarinetten Polka,शहरीत पोल्का,Klarinet Polka,Clarinetto Polka,클라리넷 폴카,クラリネット・ポルカ,Clarinet Polka,Klarinett Polka,Klarnetowa Polka,Polca De Clarinete,Polca De Clarinete,Кларнет Полька,Polka de Clarinete,Klarinett Polka,คลาริเน็ตโปลก้า,Klarnet Polka,Polka Clarinet,
71,Lyric Waltz,Lyric Waltz,الفالس للموسيقى الكلاسيكية,抒情圆舞曲,抒情圓舞曲,Lyric Waltz,Lyric Waltz,Lyyrinen Valssi,Valse Lyrique,Lyric Waltz,लिरिक वाल्ट्ज,Lyric Waltz,Lyric Waltz,서정적인 왈츠,リリック・ワルツ,Lyric Waltz,Lyric Waltz,Lyric Waltz,Lyric Waltz,Lyric Waltz,Лирический Вальс,Vals Lírico,Lyrisk Vals,เพลงวอลทซ์,Lirik Vals,Lyric Waltz,
72,Sonatina Op.88 No.3,Sonatina Op.88 No.3,السوناتينا No.3 Op.88,小奏鸣曲Op.88-3,小奏鳴曲Op.88-3,Sonatina Op.88 Nr. 3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Sonatina Op.88 N ° 3,Sonatina Op.88 Nr.3,सोनटिना Op.88 No.3,Sonatina Op.88 No.3,Sonatina Op.88 N. 3,Sonatina Op. 88 No. 3,ソナチネ Op.88-3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Sonatina Op.88 Nr 3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Сонатина Op.88 №3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Sonatina Op88 Số 3,
73,Rondo A Capriccio Op.129,Rondo a Capriccio Op.129,روندو اى كبركسو Op.129,回旋随想曲Op.129,迴旋隨想曲Op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,Rondo a Capriccio Op.129,रोंडो एक मकरपियो op.129,Rondo A Capriccio Op.129,Rondo a Capricio Op.129,Rondo A Capriccio Op. 129,ロンド・ア・カプリッチョ Op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,Рондо-каприччио Op.129,Rondo a Capriccio Op.129,Rondo A Capriccio Op.129,rondo a capriccio op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,
74,The Skater's Waltz,The Skater's Waltz,ذي سكترس والتز,溜冰圆舞曲,溜冰圓舞曲,De Wals Van De Skater,The Skater'S Waltz,Luistelijan Valssi,La Valse Du Patineur,The Skater'S Waltz,स्केटर का वाल्ट्ज,Waltz Skater,Il Valzer Del Pattinatore,스케이트 왈츠,スケーターズ・ワルツ,Waltz Skater,Skaterens Vals,Waltz łYżWiarza,A Valsa Do Skatista,A Valsa Do Skatista,Вальс фигуристов,El Vals del Patinador,Skaterens Vals,วอลทซ์ของนักสเก็ต,Patenci Vals,Waltz CủA Skater,
75,Breeze,Breeze,بريز,清风,清風,Bries,Breeze,Tuulta,Brise,Breeze,हवा,Angin Semilir,Brezza,산들 바람,ブリーズ,Angin,Bris,Bryza,Brisa,Brisa,Бриз,Brisa,Bris,สายลม,Esinti,Gió,
76,Etude de Virtuosite in E,Etude De Virtuosite in E,قطعة موسيقية في سلم مي الكبير,E大调练习曲,E大調練習曲,Etude De Virtuosite In E,Etude De Virtuosite In E,Etude De Virtuite In E,Etude De Virtuosite Dans E,Etude de Virtuosite in E,ई में etude de virtuosite,Etude De Virtuosit Di E,Etude de Virtuosite in E,Etude de Virtuosite in E,15の練習曲 ホ長調,Etude De Virtuosite Dalam E,Etude De Virtuosite I E,Etude De Virtuoste W E.,Etude De Virtuosidade Em E,Etude De Virtuosidade Em E,Этюд на виртуозность ми мажор,Etude de Virtuosite en E,Etude De Virtuosit I E,Etude de Virtuosite ใน E,E'De Etude De Virtuosite,Etude De Virtuosite Trong E,
77,Sweet Bye and Bye,Sweet Bye and Bye,سويت باي اند باي,甜蜜变奏曲,甜蜜變奏曲,Zoete Doei En Doei,Sweet Bye And Bye,Makea Hei Ja Hei,Sweet Bye And Bye,Sweet Bye and Bye,मीठा अलविदा और अलविदा,Selamat Tinggal Dan Selamat Tinggal,Dolce Ciao E Ciao,달콤한 인사,スイート・バイ・アンド・バイ,Selamat Tinggal Dan Selamat Tinggal,SøT Farvel Og Farvel,SłOdkie Do Widzenia I Do Widzenia,Sweet Bye E Tchau,Sweet Bye E Tchau,Сладкие свидания,Sweet Bye y Bye,SöT Bye Och Bye,ลาก่อนและลาก่อน,Tatlı GüLe GüLe Ve GüLe GüLe,TạM BiệT Và TạM BiệT,
78,Allemande,Allemande,المند,阿勒曼德舞曲,阿勒曼德舞曲,Allemande,Allemande,Allemande,Allemande,Allemande,एलेमैंड,Allemande,Allemande,알망스,アルマンド,Allemande,Allemande,Allemande,Allemande,Allemande,Аллеманда,Alemande,Allemand,Allemande,Alemande,Allemande,
79,Goldberg Variations,Goldberg Variations,تنويعات غولدبرغ,哥德堡变奏曲,哥德堡變奏曲,Goldberg -Variaties,Goldberg Variations,Goldberg -Muunnelmat,Variations Goldberg,Goldberg Variationen,गोल्डबर्ग विविधताएँ,Variasi Goldberg,Variazioni Goldberg,Goldberg Variations,ゴルトベルク変奏曲,Variasi Goldberg,Goldberg -Variasjoner,Odmiany Goldberga,VariaçõEs De Goldberg,VariaçõEs De Goldberg,Гольдберг Вариации,Variaciones de Goldberg,Goldberg Variationer,รูปแบบโกลด์เบิร์ก,Goldberg Varyasyonları,BiếN Thể Goldberg,
80,Tzigane Dance,Tzigane Dance,رقص غجري,茨冈舞曲,茨岡舞曲,Tzigane Dance,Tzigane Dance,Tzigaanitanssi,Danse Tzigane,Tzigane Dance,Tzigane नृत्य,Tarian Tzigane,Danza Tzigane,Tzigane Dance,ツィガーヌ・ダンス,Tarian Tzigane,Tzigane Dance,Tzigane Taniec,Tzigane Dance,Tzigane Dance,Цыганка Танец,Tzigane Dance,Tzigandans,Tzigane Dance,Tzigane Dansı,KhiêU Vũ Tzigane,
81,Sonata in F Major Mvt.3,Sonata in F Major Mvt.3,سوناتا في سلم فا الكبير Mvt.3,F大调奏鸣曲 第三章,F大調奏鳴曲 第三章,Sonata In F Major Mvt.3,Sonata In F Major Mvt.3,Sonaatti F -Major Mvt.3: Ssa,Sonata En F Majeure Mvt.3,Sonata in F-Dur 3. Satz,एफ प्रमुख MVT.3 में सोनाटा,Sonata Di F Mayor Mvt.3,Sonata in F Major Mvt.3,소나타 바장조 3악장,ピアノソナタ ヘ長調 第3楽章,Sonata Di F Utama Mvt.3,Sonata I F Major Mvt.3,Sonata W F -Dur Mvt.3,Sonata Em F Maior Mvt.3,Sonata Em F Maior Mvt.3,Соната фа мажор 3 часть,Sonata en F Major Mvt.3,Sonata I F Major Mvt.3,Sonata ใน F Major MVT.3,F Major Mvt.3'Te Sonata,Sonata Trong F Major Mvt.3,
82,Etude Op.10 No.8,Etude Op.10 No.8,القطعة الموسيقية No.8 Op.25,练习曲Op.10 No.8,練習曲Op.10 No.8,Etude Op.10 Nr. 8,Etude Op.10 No.8,Etude Op.10 No.8,Etude Op.10 N ° 8,Etude Op.10 Nr.8,Etude op.10 No.8,Etude Op.10 No.8,Etude Op.10 N. 8,Etude Op. 10 No. 8,練習曲 Op.10-8,Etude Op.10 No.8,Etude Op.10 Nr.8,Etude Op.10 Nr 8,Etude Op.10 No.8,Etude Op.10 No.8,Этюд Op.10 №8,Etude Op.10 No.8,Etude Op.10 No.8,Etude op.10 No.8,Erude Op.10 No.8,Etude Op.10 Số 8,
83,Sonata in E minor Mvt.1,Sonata in E Minor Mvt.1,سوناتا في سلم مي الصغير Mvt.1,E小调奏鸣曲 第一章,E小調奏鳴曲 第一章,Sonata In E Minor Mvt.1,Sonata In E Minor Mvt.1,Sonaatti E -Mvt.1: Ssä,Sonate En E Mineur Mvt.1,Sonata in E Moll 1.Satz,सोनाटा ई माइनर MVT.1 में,Sonata In E Minor Mvt.1,Sonata in E Minore Mvt.1,Sonata in E minor Mvt. 1,ピアノソナタ ホ長調 第1楽章,Sonata Di E Minor Mvt.1,Sonata I E -Mindre Mvt.1,Sonata W E -Moll Mvt.1,Sonata Em E Menor Mvt.1,Sonata Em E Menor Mvt.1,Соната ми минор 1 часть,Sonata en E Minor Mvt.1,Sonata I E Minor Mvt.1,Sonata ใน E Minor Mvt.1,E Minor Mvt.1'De Sonata,Sonata Trong E Nhỏ Mvt.1,
84,Knecht Ruprecht,Knecht Ruprecht,كنشط روبرشت,圣诞老人,聖誕老人,Knecht Ruprecht,Knecht Ruprecht,Knecht Ruprecht,Knecht Ruprecht,Weihnachtsmann,Knecht Ruprrecht,Knecht Ruprecht,Knecht Ruprecht,Knecht Ruprecht,サンタクロースのおじいさん,Knecht Ruprecht,Knecht Ruprecht,Knecht Ruprecht,Knecht Ruprecht,Knecht Ruprecht,Рупрехт-слуга,Knecht Rupprecht,Knecht Ruprecht,Knecht Ruprecht,Knecht Ruprecht,Knecht Ruprecht,
85,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,السوناتينا Mvt.3 No.3 Op.88,小奏鸣曲Op.88 No.3 第三章,小奏鳴曲Op.88 No.3 第三章,Sonatina Op.88 Nr. 3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 Nr.3 Mvt.3,सोनटिना Op.88 No.3 MVT.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op. 88 No. 3 Mvt. 3,ソナチネ Op.88-3 第3楽章,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 Nr 3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Сонатина Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 MVT.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op88 No.3 Mvt.3,
